planttimestring,inst_rain,poa,poa_dw,total_rain,ambTemp,cloud_cover,modTemp,humidity,ws
2023-12-10 00:00:00,0.0,0.0,1.174,0.0,12.309,1.068,6.512,52.233,0.983
2023-12-10 00:15:00,0.0,0.0,1.031,0.0,12.099,1.068,6.396,52.004,1.714
2023-12-10 00:30:00,0.0,0.0,1.366,0.0,12.232,1.603,6.581,51.81,2.065
2023-12-10 00:45:00,0.0,0.0,1.586,0.0,11.832,2.072,6.978,53.693,3.242
2023-12-10 01:00:00,0.0,0.0,1.519,0.0,12.242,2.072,7.111,52.242,2.827
2023-12-10 01:15:00,0.0,0.0,1.271,0.0,12.335,2.072,7.075,52.292,2.769
2023-12-10 01:30:00,0.0,0.0,1.237,0.0,12.295,2.072,7.06,52.364,2.993
2023-12-10 01:45:00,0.0,0.0,1.116,0.0,12.071,2.071,7.109,53.902,2.815
2023-12-10 02:00:00,0.0,0.0,1.277,0.0,12.139,2.072,7.364,54.136,3.151
2023-12-10 02:15:00,0.0,0.0,1.008,0.0,11.894,1.738,7.489,55.382,3.074
2023-12-10 02:30:00,0.0,0.0,0.852,0.0,11.638,1.068,7.136,56.734,2.682
2023-12-10 02:45:00,0.0,0.0,1.06,0.0,11.743,1.068,7.108,56.953,2.932
2023-12-10 03:00:00,0.0,0.0,1.203,0.0,11.853,2.072,7.339,57.958,3.161
2023-12-10 03:15:00,0.0,0.0,0.948,0.0,11.648,1.402,7.424,61.478,2.874
2023-12-10 03:30:00,0.0,0.0,0.816,0.0,11.827,1.068,7.139,63.855,2.76
2023-12-10 03:45:00,0.0,0.0,0.777,0.0,11.61,1.067,6.688,66.593,2.635
2023-12-10 04:00:00,0.0,0.0,0.894,0.0,11.271,2.071,6.248,69.342,2.545
2023-12-10 04:15:00,0.0,0.0,0.815,0.0,11.109,2.071,5.881,72.02,2.697
2023-12-10 04:30:00,0.0,0.0,1.296,0.0,11.047,2.071,6.271,74.636,3.207
2023-12-10 04:45:00,0.0,0.0,1.302,0.0,11.018,2.071,6.663,75.952,3.269
2023-12-10 05:00:00,0.0,0.0,1.089,0.0,10.985,2.071,6.657,77.352,3.051
2023-12-10 05:15:00,0.0,0.0,1.164,0.0,11.096,2.071,6.723,77.807,3.04
2023-12-10 05:30:00,0.0,0.0,0.921,0.0,10.947,2.071,6.529,78.846,2.579
2023-12-10 05:45:00,0.0,0.0,0.733,0.0,10.727,2.071,6.092,79.739,2.225
2023-12-10 06:00:00,0.0,0.0,0.67,0.0,10.795,2.071,5.654,80.147,1.935
2023-12-10 06:15:00,0.0,0.0,0.794,0.0,10.369,2.071,5.63,80.695,2.013
2023-12-10 06:30:00,0.0,0.0,0.726,0.0,9.552,2.07,5.332,83.07,2.096
2023-12-10 06:45:00,0.0,0.0,1.149,0.0,9.527,2.07,5.447,84.273,2.509
2023-12-10 07:00:00,0.0,0.0,1.235,0.0,9.559,2.07,5.396,83.956,2.071
2023-12-10 07:15:00,0.0,3.51,2.121,0.0,9.45,2.071,5.192,84.911,2.007
2023-12-10 07:30:00,0.0,35.726,4.852,0.0,9.632,2.071,5.897,84.55,2.513
2023-12-10 07:45:00,0.0,97.941,7.835,0.0,9.848,2.541,7.015,84.174,2.321
2023-12-10 08:00:00,0.0,168.094,12.256,0.0,10.719,3.078,8.819,82.422,2.383
2023-12-10 08:15:00,0.0,237.886,22.98,0.0,12.076,3.616,11.409,79.666,1.943
2023-12-10 08:30:00,0.0,304.511,34.725,0.0,13.866,2.414,14.773,74.326,0.924
2023-12-10 08:45:00,0.0,367.371,45.015,0.0,15.681,1.077,18.101,68.393,0.954
2023-12-10 09:00:00,0.0,429.417,55.307,0.0,16.934,1.077,22.728,62.86,1.17
2023-12-10 09:15:00,0.0,486.811,66.489,0.0,17.961,1.077,25.943,57.055,1.585
2023-12-10 09:30:00,0.0,537.731,78.093,0.0,19.083,1.078,28.543,52.104,1.809
2023-12-10 09:45:00,0.0,588.45,90.627,0.0,20.134,1.078,31.227,48.187,1.777
2023-12-10 10:00:00,0.0,631.619,102.194,0.0,21.043,1.079,34.347,44.074,1.512
2023-12-10 10:15:00,0.0,668.311,112.576,0.0,21.756,1.079,37.098,39.957,1.6
2023-12-10 10:30:00,0.0,703.229,122.743,0.0,22.177,1.883,38.215,37.442,1.243
2023-12-10 10:45:00,0.0,729.32,130.457,0.0,23.037,2.085,41.13,36.153,0.925
2023-12-10 11:00:00,0.0,737.83,135.281,0.0,23.393,2.085,42.45,35.964,1.324
2023-12-10 11:15:00,0.0,750.385,140.346,0.0,23.9,2.085,44.172,30.371,1.973
2023-12-10 11:30:00,0.0,782.939,148.046,0.0,24.017,1.08,44.505,27.252,2.083
2023-12-10 11:45:00,0.0,804.436,154.753,0.0,24.653,0.367,46.183,23.524,2.587
2023-12-10 12:00:00,0.0,832.562,161.423,0.0,24.703,0.107,47.581,22.777,1.659
2023-12-10 12:15:00,0.0,827.098,161.987,0.0,25.243,0.237,49.117,23.188,1.744
2023-12-10 12:30:00,0.0,825.891,162.805,0.0,25.192,0.432,49.159,23.044,2.161
2023-12-10 12:45:00,0.0,823.63,163.299,0.0,25.678,1.483,48.038,19.618,1.863
2023-12-10 13:00:00,0.0,806.216,160.968,0.0,25.594,2.086,47.319,19.085,2.214
2023-12-10 13:15:00,0.0,776.859,156.755,0.0,26.177,2.086,46.429,20.401,2.867
2023-12-10 13:30:00,0.0,779.352,157.079,0.0,25.83,2.22,46.405,21.165,1.923
2023-12-10 13:45:00,0.0,722.207,145.815,0.0,26.682,2.622,47.213,20.185,2.318
2023-12-10 14:00:00,0.0,724.768,147.001,0.0,26.333,2.086,44.029,19.198,2.461
2023-12-10 14:15:00,0.0,675.4,138.154,0.0,26.986,2.086,44.99,17.98,2.005
2023-12-10 14:30:00,0.0,647.384,133.29,0.0,26.844,1.55,43.456,18.082,2.244
2023-12-10 14:45:00,0.0,611.847,126.735,0.0,26.85,1.081,41.14,17.02,3.293
2023-12-10 15:00:00,0.0,566.642,118.43,0.0,26.711,1.081,39.287,17.3,2.344
2023-12-10 15:15:00,0.0,522.975,110.024,0.0,27.009,1.081,38.735,15.883,3.305
2023-12-10 15:30:00,0.0,467.576,99.645,0.0,26.837,1.081,36.287,15.803,2.999
2023-12-10 15:45:00,0.0,414.383,89.234,0.0,26.693,1.08,34.543,15.589,3.257
2023-12-10 16:00:00,0.0,356.263,77.684,0.0,26.499,1.08,32.37,15.833,3.915
2023-12-10 16:15:00,0.0,300.456,65.57,0.0,26.296,0.236,30.496,15.96,3.43
2023-12-10 16:30:00,0.0,241.557,44.907,0.0,26.054,0.826,29.008,15.889,3.387
2023-12-10 16:45:00,0.0,179.056,23.678,0.0,25.688,2.955,27.129,16.462,3.318
2023-12-10 17:00:00,0.0,76.278,22.809,0.0,25.158,3.088,24.982,17.816,2.869
2023-12-10 17:15:00,0.0,48.344,12.491,0.0,24.467,1.614,22.739,18.769,2.443
2023-12-10 17:30:00,0.0,20.724,3.884,0.0,23.358,0.946,20.028,20.899,2.093
2023-12-10 17:45:00,0.0,0.507,0.363,0.0,21.867,0.1,17.141,23.452,2.315
2023-12-10 18:00:00,0.0,0.0,0.0,0.0,20.828,0.099,14.815,25.429,2.433
2023-12-10 18:15:00,0.0,0.0,0.002,0.0,19.682,0.098,13.566,27.961,2.732
2023-12-10 18:30:00,0.0,0.0,0.173,0.0,18.599,0.098,12.888,30.674,2.909
2023-12-10 18:45:00,0.0,0.0,0.559,0.0,18.247,0.098,12.001,31.597,2.865
2023-12-10 19:00:00,0.0,0.0,0.581,0.0,17.62,0.098,11.348,33.486,2.991
2023-12-10 19:15:00,0.0,0.0,0.755,0.0,17.13,0.097,10.847,34.76,2.873
2023-12-10 19:30:00,0.0,0.0,0.705,0.0,16.496,0.097,10.449,36.399,2.996
2023-12-10 19:45:00,0.0,0.0,1.082,0.0,16.149,0.097,10.14,37.623,2.916
2023-12-10 20:00:00,0.0,0.0,1.259,0.0,16.097,0.097,9.862,38.148,2.795
2023-12-10 20:15:00,0.0,0.0,1.239,0.0,15.972,0.097,9.75,38.981,2.936
2023-12-10 20:30:00,0.0,0.0,0.739,0.0,15.632,0.097,9.28,40.95,2.326
2023-12-10 20:45:00,0.0,0.0,0.871,0.0,15.31,0.097,9.22,42.456,2.793
2023-12-10 21:00:00,0.0,0.0,0.996,0.0,14.845,0.097,9.389,43.864,3.255
2023-12-10 21:15:00,0.0,0.0,1.269,0.0,15.052,0.097,9.7,43.454,3.5
2023-12-10 21:30:00,0.0,0.0,1.259,0.0,15.25,0.097,10.227,42.927,3.441
2023-12-10 21:45:00,0.0,0.0,0.895,0.0,14.921,0.097,9.879,43.82,3.267
2023-12-10 22:00:00,0.0,0.0,0.789,0.0,14.696,0.097,9.257,44.392,2.615
2023-12-10 22:15:00,0.0,0.0,0.704,0.0,14.312,0.097,8.649,46.162,2.714
2023-12-10 22:30:00,0.0,0.0,0.812,0.0,14.053,0.097,8.417,46.887,2.88
2023-12-10 22:45:00,0.0,0.0,0.871,0.0,13.881,0.162,8.366,47.973,2.768
2023-12-10 23:00:00,0.0,0.0,0.834,0.0,13.71,1.069,8.328,48.827,2.675
2023-12-10 23:15:00,0.0,0.0,0.892,0.0,13.461,1.069,8.289,50.212,2.611
2023-12-10 23:30:00,0.0,0.0,0.866,0.0,13.175,1.069,7.913,51.557,2.589
2023-12-10 23:45:00,0.0,0.0,0.714,0.0,12.701,1.068,7.393,53.362,2.512
2023-12-11 00:00:00,0.0,0.0,0.883,0.0,12.917,1.068,7.1,53.057,2.431
2023-12-11 00:15:00,0.0,0.0,1.002,0.0,12.538,1.068,6.996,54.902,2.206
2023-12-11 00:30:00,0.0,0.0,0.964,0.0,12.335,1.068,6.605,55.436,1.602
2023-12-11 00:45:00,0.0,0.0,0.768,0.0,11.707,1.068,6.331,57.936,1.439
2023-12-11 01:00:00,0.0,0.0,0.869,0.0,11.03,1.068,6.298,61.319,1.685
2023-12-11 01:15:00,0.0,0.0,1.091,0.0,11.129,2.004,6.189,61.892,1.769
2023-12-11 01:30:00,0.0,0.0,1.111,0.0,11.492,2.072,6.025,60.379,1.205
2023-12-11 01:45:00,0.0,0.0,1.135,0.0,11.235,2.071,5.809,60.904,0.847
2023-12-11 02:00:00,0.0,0.0,1.071,0.0,10.824,2.071,5.629,62.743,0.89
2023-12-11 02:15:00,0.0,0.0,1.174,0.0,10.146,2.071,5.502,65.613,1.236
2023-12-11 02:30:00,0.0,0.0,1.398,0.0,10.47,2.071,5.316,64.372,1.072
2023-12-11 02:45:00,0.0,0.0,1.189,0.0,10.191,2.071,5.209,65.161,1.002
